DEPTH (m),O2 (mg/L)
14.3,4.01835384
14.3,4.01471481
14.3,4.01212065
14.3,4.01201256
14.3,3.82163004
14.3,3.82944855
14.2,4.03791813
14.2,3.90972339
14.2,3.96243528
14.2,3.91437126
14.2,3.95775138
14.2,3.95746314
14.2,3.95688666
14.2,3.95652636
14.2,2.75625897
14.2,3.78545592
14.2,4.08583803
14.2,4.07920851
14.2,4.06865172
14.2,4.05514047
14.2,3.81727041
14.2,4.04703372
14.2,4.03950345
14.2,4.03341438
14.2,4.02646059
14.2,3.84040167
14.1,4.02981138
14.1,3.99086295
14.1,3.95832786
14.1,3.94885197
14.1,3.95634621
14.1,3.95710284
14.1,3.95631018
14.1,4.02973932
14.1,4.01453466
14,4.03377468
14,4.05128526
14,4.03042389
14,4.0249113
14,4.01835384
14,4.00747278
14,3.91282197
14,3.91919928
14,3.95721093
14,3.95598591
14,3.95688666
14,3.95746314
14,3.95616606
14,3.95937273
14,4.18989267
14,2.77067097
14,4.17461595
14,4.15512372
14,4.09138665
14,3.81820719
14,4.08861234
14,4.06667007
14,4.06119351
14,4.04285424
14,4.02210096
14,3.83730309
14,3.86086671
14,3.90500346
13.9,4.03993581
13.9,3.92312655
13.9,4.01262507
13.9,3.98225178
13.9,3.97774803
13.9,3.94150185
13.9,3.91480362
13.9,3.95562561
13.9,3.95587782
13.9,3.95782344
13.9,3.9564543
13.9,4.22621091
13.9,4.19302728
13.9,3.79104057
13.9,4.15865466
13.9,4.07528124
13.9,4.05369927
13.9,3.84382452
13.8,4.03590045
13.8,4.03856667
13.8,3.93310686
13.8,3.94254672
13.8,3.99792483
13.8,3.96693903
13.8,3.93033255
13.8,4.08547773
13.8,4.0227495
13.8,3.97511784
13.8,3.96920892
13.8,3.96556989
13.8,3.9550131
13.8,3.95440059
13.8,3.95440059
13.8,3.95407632
13.8,3.95479692
13.8,3.9553734
13.8,3.9571749
13.8,3.95760726
13.8,3.95818374
13.8,3.95649033
13.8,3.96740742
13.8,4.20747531
13.8,4.25788128
13.8,4.21378056
13.8,3.78923907
13.8,4.17526449
13.8,4.14377427
13.8,4.13091156
13.8,4.11949005
13.8,4.10785236
13.8,4.09999782
13.8,4.1193099
13.8,4.09920516
13.8,4.08097398
13.8,3.84984153
13.8,3.87866553
13.7,4.03290996
13.7,4.04483589
13.7,4.03748577
13.7,4.06674213
13.7,4.02040755
13.7,4.0231098
13.7,4.01489496
13.7,3.99587112
13.7,3.97814436
13.7,3.9622191
13.7,3.95976906
13.7,3.95710284
13.7,3.95458074
13.7,3.95389617
13.7,3.95450868
13.7,4.24462224
13.7,3.8343126
13.7,3.85023786
13.7,3.87844935
13.7,4.18149768
13.7,4.13199246
13.7,4.10857296
13.6,4.02145242
13.6,4.02829812
13.6,3.95292336
13.6,4.06648992
